Time (Seconds),Happiness,Sadness,Surprise,Fear,Anger,Disgust,Contempt
0,0.1,0.3,0.1,0.2,0,0,0
1,0.1,0.3,0.1,0.2,0,0,0
2,0.1,0.3,0.1,0.2,0,0,0
3,0.1,0.3,0.1,0.2,0,0,0
4,0.1,0.3,0.1,0.2,0,0,0
5,0.1,0.3,0.1,0.2,0,0,0
6,0,0.4,0.1,0.4,0.2,0,0
7,0,0.4,0.1,0.4,0.2,0,0
8,0,0.4,0.1,0.4,0.2,0,0
9,0,0.4,0.1,0.4,0.2,0,0
10,0,0.4,0.1,0.4,0.2,0,0
11,0.3,0.4,0,0.2,0.3,0,0
12,0.3,0.4,0,0.2,0.3,0,0
13,0.3,0.4,0,0.2,0.3,0,0
14,0.3,0.4,0,0.2,0.3,0,0
15,0.3,0.4,0,0.2,0.3,0,0
16,0.3,0.2,0,0.2,0.1,0,0
17,0.3,0.2,0,0.2,0.1,0,0
18,0.3,0.2,0,0.2,0.1,0,0
19,0.3,0.2,0,0.2,0.1,0,0
20,0.3,0.2,0,0.2,0.1,0,0
21,0.1,0.1,0.2,0.3,0,0.3,0
22,0.1,0.1,0.2,0.3,0,0.3,0
23,0.1,0.1,0.2,0.3,0,0.3,0
24,0.1,0.1,0.2,0.3,0,0.3,0
25,0.1,0.1,0.2,0.3,0,0.3,0
26,0,0.3,0.3,0.3,0.3,0.3,0.1
27,0,0.3,0.3,0.3,0.3,0.3,0.1
28,0,0.3,0.3,0.3,0.3,0.3,0.1
29,0,0.3,0.3,0.3,0.3,0.3,0.1
30,0,0.3,0.3,0.3,0.3,0.3,0.1
31,0,0.3,0.2,0.2,0.3,0.5,0.2
32,0,0.3,0.2,0.2,0.3,0.5,0.2
33,0,0.3,0.2,0.2,0.3,0.5,0.2
34,0,0.3,0.2,0.2,0.3,0.5,0.2
35,0,0.3,0.2,0.2,0.3,0.5,0.2
36,0,0.5,0.4,0.3,0.5,0.5,0.2
37,0,0.5,0.4,0.3,0.5,0.5,0.2
38,0,0.5,0.4,0.3,0.5,0.5,0.2
39,0,0.5,0.4,0.3,0.5,0.5,0.2
40,0,0.5,0.4,0.3,0.5,0.5,0.2
41,0,0.4,0.4,0.2,0.5,0.7,0.3
42,0,0.4,0.4,0.2,0.5,0.7,0.3
43,0,0.4,0.4,0.2,0.5,0.7,0.3
44,0,0.4,0.4,0.2,0.5,0.7,0.3
45,0,0.4,0.4,0.2,0.5,0.7,0.3
46,0,0.6,0.3,0.3,0.6,0.8,0.4
47,0,0.6,0.3,0.3,0.6,0.8,0.4
48,0,0.6,0.3,0.3,0.6,0.8,0.4
49,0,0.6,0.3,0.3,0.6,0.8,0.4
50,0,0.6,0.3,0.3,0.6,0.8,0.4
51,0,0.6,0.4,0.5,0.5,0.8,0.4
52,0,0.6,0.4,0.5,0.5,0.8,0.4
53,0,0.6,0.4,0.5,0.5,0.8,0.4
54,0,0.6,0.4,0.5,0.5,0.8,0.4
55,0,0.6,0.4,0.5,0.5,0.8,0.4
56,0,0.6,0.4,0.4,0.6,0.7,0.5
57,0,0.6,0.4,0.4,0.6,0.7,0.5
58,0,0.6,0.4,0.4,0.6,0.7,0.5
59,0,0.6,0.4,0.4,0.6,0.7,0.5
60,0,0.6,0.4,0.4,0.6,0.7,0.5
61,0,0.7,0.3,0.3,0.4,0.8,0.5
62,0,0.7,0.3,0.3,0.4,0.8,0.5
63,0,0.7,0.3,0.3,0.4,0.8,0.5
64,0,0.7,0.3,0.3,0.4,0.8,0.5
65,0,0.7,0.3,0.3,0.4,0.8,0.5
66,0,0.7,0.3,0.3,0.4,0.8,0.5
67,0,0.7,0.3,0.3,0.4,0.8,0.5
68,0,0.7,0.3,0.3,0.4,0.8,0.5
